"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
60,0.8,50,0.02,1,0.44,0.08,0.0132272284607966,0.0170915000407823,0.355938686249887,0.0774918763430417,0.02663854462861,0.0263155207881199
70,0.8,50,0.04,1,0.44,0.12,0.0163297282889951,0.0206134004663432,0.359254327586515,0.0768615513387649,0.023238028563786,0.0314372626040084
80,0.8,50,0.04,1,0.42,0.08,0.0113407237804645,0.0164631909949576,0.348121408830511,0.0577470889256537,0.015380835456715,0.0189231172351997
90,0.8,50,0.1,1,0.66,0.32,0.0155739641717541,0.021254882784542,0.356491252039346,0.0591384294616729,0.0303722382424454,0.0284963995310961
100,0.8,50,0.04,1,0.52,0.18,0.00904505577199135,0.0135770506451421,0.347754335019496,0.059538612330136,0.0202087577362761,0.0235162740790078
60,0.9,50,0.08,1,0.64,0.34,0.021447914701489,0.0300250110707326,0.438167136941392,0.0801561540929946,0.0481649650199977,0.0424187244828248
70,0.9,50,0.04,1,0.72,0.26,0.0122117779904884,0.0161584711025499,0.454185296614473,0.0616012892330105,0.0387640876319515,0.0344155282528117
80,0.9,50,0.06,1,0.8,0.3,0.0136984211990429,0.0160665175983316,0.459177040348613,0.0677722584966737,0.0378665370173373,0.0353862048964621
90,0.9,50,0.06,1,0.84,0.38,0.0109217900370031,0.0153365030109099,0.445062735473257,0.05644677245101,0.0442225530643524,0.0451310333608157
100,0.9,50,0.08,1,0.8,0.38,0.0106226613024363,0.01339472213986,0.443830013484574,0.0421786930765131,0.0353214855755942,0.0275287749941747
